Unix Time,10_x,10_y
1738543743.47,855.5936218621238,-965.682033196392
1738543743.5033333,859.1132097438307,-964.1275821580494
1738543743.5366666,863.1525652631825,-962.2305383491647
1738543743.57,867.8314689646448,-959.8883907560607
1738543743.6033335,873.253343823741,-956.9914136452622
1738543743.6366668,879.4975753831011,-953.4264311176555
1738543743.67,886.6116860464975,-949.0824003421376
1738543743.7033334,894.6023010417332,-943.8579374582965
1738543743.7366667,903.4251881500608,-937.6696228762133
1738543743.77,912.9796758219178,-930.4584388540204
1738543743.8033333,923.1146796008039,-922.1907438419202
1738543743.8366666,933.6442396558328,-912.8553620916159
1738543743.8700001,944.36287415636,-902.4636291116275
1738543743.9033334,955.0589002078358,-891.0540620006498
1738543743.9366667,965.5295880537725,-878.6950389374017
1738543743.97,975.5952525046511,-865.4767161522643
1738543744.0033333,985.107904883376,-851.4931549478968
1738543744.0366666,993.9552654137836,-836.827769781827
1738543744.07,1002.0611531693482,-821.5509878987771
1738543744.1033335,1009.381191205191,-805.7279466313507
1738543744.1366668,1015.8945288803268,-789.4285791842377
1738543744.17,1021.5969839193002,-772.7311665123857
1738543744.2033334,1026.500776417276,-755.7163783505328
1738543744.2366667,1030.6381177832213,-738.458794500834
1738543744.27,1034.0613061135557,-721.0242222392209
1738543744.3033333,1036.8372517012474,-703.4727126136975
1738543744.3366666,1039.041277696578,-685.8636209123285
1738543744.3700001,1040.7541894868593,-668.26075883639
1738543744.4033334,1042.0608213439552,-650.735092339784
1738543744.4366667,1043.0472500857193,-633.3659560932945
1738543744.47,1043.7975195064957,-616.2470050873075
1738543744.5033333,1044.391998584274,-599.4960563202609
1738543744.5366666,1044.9082176456482,-583.2576464022827
1738543744.57,1045.4244823392107,-567.6931307884319
1738543744.6033335,1046.0255614406653,-552.9639090440594
1738543744.6366668,1046.8078191738318,-539.2150274345468
1738543744.67,1047.8801439982585,-526.5637100043125
1738543744.7033334,1049.3576478799396,-515.0925461658372
1738543744.7366667,1051.3483871837173,-504.8453280619154
1738543744.77,1053.9380182188818,-495.8256093105545
1738543744.8033333,1057.1793295756627,-487.9981298295913
